battery_id,type,start_time,ambient_temperature,test_id,uid,filename,capacity
SP20-1,discharge,2016-02-24 09:27:22,25,1,SP20-1_1,SP20-1_cycle_1.csv,1.756151893570561
SP20-1,discharge,2015-10-16 09:34:19,25,1,SP20-1_1,SP20-1_cycle_1.csv,2.009444140560707
CS2_35,discharge,2010-10-08 14:29:45,25,1,CS2_35_1,CS2_35_cycle_1.csv,1.0415557005729
CS2_35,discharge,2010-10-08 17:56:15,25,2,CS2_35_2,CS2_35_cycle_2.csv,2.085897664369234
CS2_35,discharge,2010-10-08 21:18:57,25,3,CS2_35_3,CS2_35_cycle_3.csv,3.133029235352792
CS2_35,discharge,2010-10-09 00:40:09,25,4,CS2_35_4,CS2_35_cycle_4.csv,4.180906598264187
CS2_35,discharge,2010-10-09 04:01:16,25,5,CS2_35_5,CS2_35_cycle_5.csv,5.22886648244988
CS2_35,discharge,2010-10-09 07:22:18,25,6,CS2_35_6,CS2_35_cycle_6.csv,6.276477422285145
CS2_35,discharge,2010-10-09 10:43:02,25,7,CS2_35_7,CS2_35_cycle_7.csv,7.324013975112931
CS2_35,discharge,2010-10-09 14:03:38,25,8,CS2_35_8,CS2_35_cycle_8.csv,8.371715710747644
CS2_35,discharge,2010-10-09 17:24:11,25,9,CS2_35_9,CS2_35_cycle_9.csv,9.419001826786968
CS2_35,discharge,2010-10-09 20:44:30,25,10,CS2_35_10,CS2_35_cycle_10.csv,10.46563038095289
CS2_35,discharge,2010-10-10 00:04:44,25,11,CS2_35_11,CS2_35_cycle_11.csv,11.51157001594794
CS2_35,discharge,2010-10-10 03:24:43,25,12,CS2_35_12,CS2_35_cycle_12.csv,12.556234041303584
CS2_35,discharge,2010-10-10 06:44:34,25,13,CS2_35_13,CS2_35_cycle_13.csv,13.600522614245536
CS2_35,discharge,2010-10-10 10:04:12,25,14,CS2_35_14,CS2_35_cycle_14.csv,14.644271255408215
CS2_35,discharge,2010-10-10 13:23:36,25,15,CS2_35_15,CS2_35_cycle_15.csv,15.687454883292231
